0.6898399638378653,0.6898697396694571,0.06916471426040675,0.06923321680661912,0.014666963137750252,0.7354478453166,0.023322069564165264,0.052966469669737205,0.4656740599429958,0.1680115414959559,0.6971420481437012,0.6974820177480373,0.07689958971623052,0.077201500132403,0.01184867705817301,0.7399046433885785,0.028997319351295715,0.06243619134515445,0.462827284371872,0.19493996859877818,0.6854066695238703,0.6857167276166286,0.060872093775367626,0.061338643339891016,0.014498839492380542,0.7226252217630899,0.01976096607677957,0.043956638205088425,0.5325598100760351,0.24382840373943654,0.698615652534999,0.6988690048747976,0.07491789306687902,0.07516339764033698,0.010765849427065478,0.7396047849485619,0.026927838841365483,0.06060026633783807,0.48033284374727264,0.19304197869947715,0.8590839950732522,0.39240941614397173,0.3343657985444249,0.43594622682618644,0.6914507756443516,0.06498421948561364,0.5395098366038671,0.17980242424603082,0.04880971855389786,0.33794043293503295,0.8083766936584182,0.7233210899133159;21
0.6311028186115359,0.6311013339456876,0.10911814381304934,0.10915131257371685,0.010366849329184953,0.7646700609189326,0.028835437112600122,0.056600157409972526,0.43814419514380765,0.1458846549346008,0.6406317883661589,0.6409666490243041,0.12086615613667363,0.12086280659325162,0.008127620159560877,0.7691468516067685,0.03651149408989142,0.06905330893583415,0.4233012870981099,0.17502690003100943,0.6318512460616607,0.6321981171424814,0.10686702544455458,0.1072363573686951,0.009285893608524406,0.7639861013170951,0.027838313205254477,0.05464450703261949,0.45303897955924116,0.19655385957104068,0.6419313556242142,0.6422751349127135,0.1166444393748574,0.11683255678219717,0.007352178967005361,0.7731437192672639,0.03393221470302164,0.06775266817214642,0.4188201786396743,0.178880335096819,0.8278540162095714,0.44326854446776537,0.3005505446136248,0.4921618939076709,0.6767105510938023,0.10250491234786893,0.4929411957046243,0.20660051829584095,0.06163760343196181,0.3295737545225847,0.7684953593543536,0.62853200839627;23
0.5428829395930058,0.5429798365415773,0.06854511765460283,0.06869013855068974,-0.00015885747738685627,0.9726957651316182,0.006470984869103344,0.06250221522527682,0.12162935379458405,0.22835116028393546,0.5402296570037984,0.5403238533732904,0.06476125127307805,0.06506759384788492,0.00035310354651719094,0.9371640181199927,0.0037127323809417715,0.05230492532859923,0.14631782446007233,0.3404831969552988,0.5426970702540277,0.542711993331275,0.06505474375953389,0.06547881116276467,0.000330846266062959,0.9445414311116301,0.0031228408728321997,0.04751236646559431,0.15283107336958573,0.3311340002563068,0.5401038358452601,0.540030521779349,0.061284302864447374,0.061512765480595165,3.3169650066656064e-05,0.954432935570068,0.004432623476351832,0.0564820121329177,0.11830934989461885,0.34443405340966066,0.8230950568417301,0.3523142396106322,0.37817494619352693,0.36621921760692894,0.9829662584973341,0.3196708426420696,0.5245445841928349,0.2799408699696308,0.3665973426046986,0.6667145638374986,0.808829289799626,0.643653710941317;25
0.6283310468888893,0.6276095212917352,0.0523439833009544,0.052071733661797466,0.0026997112481238015,0.8711473369911956,0.00818038628941434,0.04291914985551734,0.23133186934190292,0.26728298539314854,0.6329455074471068,0.6330780172568478,0.05721124688233712,0.057420325304723935,0.0021401237162870746,0.8717246190153934,0.011935763720492982,0.05144049634838227,0.20552754684142693,0.33770332501156136,0.6326500273842074,0.6335101753346746,0.05509651918013399,0.05577332777435002,0.00230140494484798,0.8759640949208107,0.010449195948806004,0.046773507222474885,0.22083368058910136,0.3345406081808636,0.63249353838446,0.6340675081993299,0.054254714619754396,0.055074811990206446,0.001950168997910026,0.8713183920190268,0.010548264651766327,0.04804808985358017,0.20763187718283818,0.35186395494924155,0.8880089367300158,0.2907076392576113,0.3795944590743799,0.3498974428483156,0.8261820709536054,0.25480926967873785,0.5350326834909708,0.277796309598871,0.5082358403418414,0.48899563802500506,0.5120299460264068,0.5786391662482869;27
0.5068826240320201,0.5070382677717868,0.17078274719547443,0.17105747726562068,-3.533821922676156e-05,0.9728512740615438,0.04236833382266225,0.08038016517443171,0.175515815835198,0.11013475276848562,0.5058945592356876,0.5056191631518008,0.16903525518411872,0.16848596058486115,-0.00015364297043440263,0.9803851340164855,0.04579083380113838,0.08986864920996407,0.15945977691846042,0.14962383291463247,0.5063894274769917,0.5059735619939049,0.16688793573366328,0.16666275762014693,3.7882309266470486e-07,0.9712820208783965,0.039059368609206155,0.07506472323092868,0.17845890160493122,0.15464165353150935,0.5054857046205935,0.5049115366299914,0.16073806300653334,0.16008672552149716,-0.00016111921938676344,0.9833421867568735,0.040116041365708045,0.08507027349079951,0.15132972204268103,0.15925436507563392,0.6977220184249476,0.5596833873778284,0.33938616964918344,0.5334274313381079,0.7566104263427958,0.3104960787991605,0.5766640898437787,0.34588723618787337,0.14157381997291868,0.3116465020538687,0.6458979454175711,0.34817838185837335;29
0.4654303740522981,0.4654845131926283,0.16339458674077098,0.1635396636482212,0.00024257985151305073,0.95948083326691,0.027146982566143278,0.06666415060825766,0.16671251685107288,0.11949157094214395,0.4665439499522416,0.4665250892816341,0.16589252894975154,0.16556834556397235,0.00014097013628733377,0.964369942003702,0.03277630758207421,0.07862350052638852,0.1504179598026528,0.1627123002895188,0.46800634293327886,0.4679411065907836,0.1642598071890145,0.16436141735193463,0.00019163092245729862,0.9609046994189994,0.02823993060728056,0.06717062423373767,0.1619960754861259,0.16085079267465377,0.46772598131501447,0.46760274834149645,0.16012142200675303,0.1598843120651203,4.4256669681683376e-05,0.9696861356142975,0.029547041455626286,0.07671663196419286,0.13837117371044103,0.17042588405178402,0.6736253029644879,0.625574757827399,0.2975675281289717,0.6219610601372761,0.825573245834762,0.3989010296790166,0.6257045070096751,0.4407371084615673,0.16071844338440516,0.415077846061486,0.7351034354250416,0.49632904661366634;31
0.29276300400802147,0.29275159474343754,0.00696767254494184,0.006931731540348733,0.015033847886691157,0.7315522268559109,0.01093458500433439,0.03856816820363748,0.3066896278148169,0.3138804690182226,0.2950027347877427,0.2951392462484337,0.013098413402056915,0.013356248521554257,0.011054919602381839,0.7397564695603008,0.014918071847247708,0.04493563178950954,0.28352245298548,0.3307055717871074,0.29504854736674613,0.2952007002318214,0.008124428654717556,0.008463290579644681,0.013050205517966226,0.739220697330282,0.012224136021002138,0.04100543963172654,0.30400916865216376,0.35468867113642966,0.29470642987941675,0.29486430686451337,0.011092579247695862,0.01142846381466342,0.010885881827338953,0.7390113179929241,0.01319897117115628,0.04341325301857989,0.2895213126971138,0.3306901389276522,0.6894313525707169,0.2543613960048407,0.43343025635835364,0.30798467566483184,0.6990770446428655,0.14008072967308643,0.47788338872886676,0.18750736424417921,0.19496817683868756,0.44608673917117175,0.7097185925437484,0.480541962067306;33
0.3694697696261704,0.36945371256239706,0.019736031472412426,0.019701324241688384,0.006320229668949869,0.8168924480591041,0.00628217260898561,0.04200259297147411,0.19650771363809075,0.41053139143876755,0.37015717780399543,0.3703444157988296,0.022228561913396973,0.022568688514047797,0.004633522171499195,0.820771097297725,0.009636529266752148,0.049936016915747825,0.1782055495353628,0.4279712025515693,0.3722037098101421,0.3724123684530745,0.021533288576650923,0.021992558699604033,0.00527242030367463,0.8248896177410157,0.008382767423030933,0.04592422165728965,0.18449718159840062,0.4701861617352616,0.37080144902871953,0.3710212039365979,0.021542869395196895,0.021980958931989217,0.004500221803554895,0.8189388275652256,0.00877490381344072,0.046408633888510555,0.1783612203267151,0.46410322601568604,0.7537358805147627,0.340750609880567,0.30141864893652925,0.460660374234232,0.6732065444772549,0.13123459283955752,0.4381438636262333,0.1975287062645282,0.27029935834623703,0.5566751908083502,0.7393747739610056,0.5641495880639013;35
0.48728734402073814,0.4871918683506461,0.2267445580493197,0.22667768903722205,0.00039619002596324613,0.8971377271605705,0.03319458941535717,0.05487143888476176,0.16348114919494108,0.08824262343682798,0.487180549946431,0.4869378822989993,0.22702292724738374,0.22588518607416366,0.00030613277669053413,0.8899487443873275,0.03820600048319304,0.0598564691339447,0.14462310779534962,0.13631195426905618,0.4880577671323645,0.48791068435881824,0.22639924565852124,0.22606698438724587,0.0005673777161635125,0.8773714987934634,0.033372853765173405,0.048279679029938787,0.18129870095840256,0.13218389335149142,0.48178810508070335,0.4817448779836231,0.2081015233396913,0.20762684532572112,0.0006175414513320402,0.8734895156106514,0.026469215833512902,0.04281093081315364,0.16578794110337813,0.15906976449465574,0.6177503327130939,0.7266849158430252,0.41337837556714935,0.5477260198756674,0.6437274157994997,0.29811106863193265,0.05086805540238387,0.3522609295330198,0.03701559632948097,0.4303117914404493,0.8662129045703364,0.7586353933395;37
0.577166943733467,0.5762135006862598,0.20886523597848825,0.20823800218975824,0.0032400225161462923,0.8081385819938434,0.004129921463342951,0.005773310766771313,0.24906238683866844,0.09745994889001966,0.5643946099256779,0.5632527324391756,0.18945217998790376,0.18801839614224916,0.0037500931683217514,0.783228867147222,-0.005643783723989993,-0.013210512728709349,0.2892296420655615,0.17149912305684792,0.571357968505001,0.5711934209170607,0.19573060583803026,0.1956239024856749,0.004260012679787694,0.7705753349276419,-0.003128729592105035,-0.010586592541740818,0.33033369512684513,0.16791542717720334,0.565551340854618,0.5663668654600064,0.18218583169399802,0.18253116606317937,0.0024234163039269815,0.8001351683131702,-0.004759480239687668,-0.012564545080036679,0.23156094762074161,0.17849439839395811,0.6936364367611317,0.4962240331000252,0.477732626017016,0.4030168479474281,0.5795094076604206,0.3478124627460497,0.10036303496510922,0.2846828489107851,0.12429679577333645,0.39262286381660333,0.7277083010251969,0.46079162434265614;39
