0,30
0,3
0,4
0,3
0,30
0,4
0,30
0,30
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,1
2,2
2,2
2,2
2,1
2,2
2,1
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
6,4
6,6
6,4
6,6
6,4
6,6
6,6
6,4
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,11
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
12,19
12,9
12,19
12,4
12,9
12,19
12,9
12,19
13,13
13,10
13,13
13,10
13,13
13,13
13,13
13,13
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
15,21
15,15
15,15
15,15
15,15
15,15
15,15
15,15
16,16
16,16
16,16
16,16
16,16
16,16
16,16
16,16
17,5
17,17
17,17
17,5
17,17
17,17
17,5
17,17
18,18
18,18
18,18
18,18
18,18
18,18
18,18
18,18
19,19
19,18
19,19
19,18
19,19
19,19
19,19
19,19
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
22,22
22,29
22,22
22,22
22,29
22,22
22,22
22,22
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
25,27
25,25
25,27
25,25
25,27
25,25
25,25
25,27
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
27,27
27,27
27,27
27,27
27,27
27,13
27,27
27,23
28,28
28,28
28,28
28,28
28,28
28,28
28,28
28,1
29,23
29,29
29,23
29,23
29,23
29,23
29,23
29,27
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,4
