001_0001;40;30.31501278;31.78798644;42.71865906;106;41.85689907;9.718835404;52.59015934;152;33.09078422;-32.86630944;47.39743281;;0.314285714;0.584380648;0.739663256;0.626000171;0.643356643;0.777847769;0.563525173;0.832227435;0.841463415;0.499072926;0.157012881;0.691483048;01
001_0002;40;29.93325909;31.54901247;42.23692649;106;41.56921938;12.89461145;52.14592674;153;32.61901286;-31.96708856;46.19880812;;0.314285714;0.575902998;0.736744584;0.618126543;0.643356643;0.771936798;0.598218644;0.824552816;0.847560976;0.490979356;0.167058515;0.672198714;02
001_0003;40;29.78254522;31.17075388;42.00655148;106;41.6533312;-10.72311653;52.17591073;152;33.09078422;-31.75727818;46.44107325;;0.314285714;0.572556077;0.732124782;0.614361203;0.643356643;0.773665049;0.340208962;0.825070823;0.841463415;0.499072926;0.169402408;0.676096449;03
001_0004;51;32.29551052;32.86630944;44.74567372;111;41.92851059;-18.94164924;52.54692453;154;32.68026928;-31.50138568;45.3112712;;0.419047619;0.628361799;0.752833186;0.659130499;0.678321678;0.779319174;0.250426362;0.831480505;0.853658537;0.492030253;0.172261108;0.657919383;04
001_0005;51;32.28002478;32.78929107;44.28595463;111;42.02380278;-17.66884195;52.64787968;154;32.86335345;-32.05524312;45.66796463;;0.419047619;0.628017905;0.751892534;0.651616668;0.678321678;0.781277148;0.264331028;0.833224619;0.853658537;0.495171191;0.166073697;0.663658123;05
001_0006;52;32.61901286;32.48638483;44.69577375;111;42.02380278;-18.96392045;52.64067609;153;33.1662479;-31.74372125;45.87449759;;0.428571429;0.635545854;0.748193036;0.658314914;0.678321678;0.781277148;0.250183063;0.833100169;0.847560976;0.500367559;0.169553859;0.666980973;06
001_0007;65;39.26830783;37.8695899;51.99665883;127;41.79712909;-32.03609209;54.07725809;161;31.144823;-33.14050894;45.57066051;;0.552380952;0.783207546;0.813939974;0.777643461;0.79020979;0.776619672;0.107377334;0.857918744;0.896341463;0.465688589;0.153949666;0.662092624;07
001_0008;64;38.97435054;37.76727569;51.78978793;125;42.09513036;-30.39189535;54.12147607;160;31.68595904;-33.77913351;46.32140565;;0.542857143;0.776679601;0.812690375;0.774262282;0.776223776;0.78274272;0.125339209;0.85868266;0.890243902;0.474972159;0.14681528;0.674171151;08
001_0009;64;39.0256326;37.96326089;51.9547319;126;42.11887938;-32.26345011;54.39548887;160;31.76476035;-34.05211155;46.65551669;;0.542857143;0.777818428;0.81508401;0.776958191;0.783216783;0.783230692;0.104893582;0.86341654;0.890243902;0.476324052;0.14376571;0.679546569;09
001_0010;56;33.24154028;33.93297059;46.53040922;103;36.06937759;18.63667946;45.19146321;144;29.51270913;11.15483512;35.68545374;;0.466666667;0.649370395;0.765860686;0.68830092;0.622377622;0.658931249;0.660947335;0.704406611;0.792682927;0.437688524;0.648794473;0.503052325;10
